time,device_id,s_d0,s_t0,s_h0,lat,lon,school,time2
2016-04-25 08:56:11,28C2DDDD441E,45,29.25,79,25.154895,121.503983,大屯國小,2016/4/25 9:00
2016-04-25 08:55:43,28C2DDDD45A9,48,28.87,151,25.0652808,121.5161749,大同國小,2016/4/25 9:00
2016-04-25 08:58:31,28C2DDDD41B2,43,29.12,83,25.073294,121.5363674,大佳國小,2016/4/25 9:00
2016-04-25 08:57:22,28C2DDDD4594,44,28.87,84,25.0804934,121.5460971,大直國小,2016/4/25 9:00
2016-04-25 08:53:47,28C2DDDD4599,46,29,80,25.031305,121.4939132,大理國小,2016/4/25 9:00
2016-04-25 08:56:50,28C2DDDD4413,45,29.37,83,25.063613,121.526363,中山國小,2016/4/25 9:00
2016-04-25 08:54:42,28C2DDDD4536,43,30.12,76,25.05049,121.5400725,中正國小,2016/4/25 9:00
2016-04-25 08:57:50,28C2DDDD456A,47,29.87,80,25.0357732,121.55235,仁愛國小,2016/4/25 9:00
2016-04-25 08:54:57,28C2DDDD436D,40,29.12,83,25.0791258,121.5802392,內湖國小,2016/4/25 9:00
2016-04-25 08:54:47,28C2DDDD4349,40,31.62,67,25.137188,121.496154,文化國小,2016/4/25 9:00
2016-04-25 08:56:34,28C2DDDD4239,45,30.12,78,25.099401,121.521359,文昌國小,2016/4/25 9:00
2016-04-25 08:53:51,28C2DDDD4351,40,30.5,76,25.1059048,121.5147443,文林國小,2016/4/25 9:00
2016-04-25 08:59:24,28C2DDDD4790,42,29.12,98,25.085771,121.5601224,文湖國小,2016/4/25 9:00
2016-04-25 08:55:37,28C2DDDD4236,40,29.37,79,25.054494,121.5165179,日新國小,2016/4/25 9:00
2016-04-25 08:54:08,28C2DDDD4354,49,30.25,80,24.9902695,121.5701489,木柵國小,2016/4/25 9:00
2016-04-25 08:58:17,28C2DDDD41C0,55,31.12,87,25.0205827,121.5287775,古亭國小,2016/4/25 9:00
2016-04-25 08:53:37,28C2DDDD4588,55,28.75,85,25.0357882,121.5135444,台北市立大學附設實驗國小,2016/4/25 9:00
2016-04-25 08:57:11,28C2DDDD41FA,45,28.5,86,25.0565153,121.5521795,民生國小,2016/4/25 9:00
2016-04-25 08:56:14,28C2DDDD4408,44,29.5,84,25.0594726,121.5518154,民族國小,2016/4/25 9:00
2016-04-25 08:56:17,28C2DDDD443A,47,28,90,25.0430088,121.5798853,永吉國小,2016/4/25 9:00
2016-04-25 08:56:50,28C2DDDD4357,40,29.62,88,24.9875796,121.5500432,永建國小,2016/4/25 9:00
2016-04-25 08:54:05,28C2DDDD4598,42,30,80,25.061261,121.511118,永樂國小,2016/4/25 9:00
2016-04-25 08:57:24,28C2DDDD43FD,48,27.87,89,25.0535818,121.5947692,玉成國小,2016/4/25 9:00
2016-04-25 08:56:06,28C2DDDD4229,42,29.12,84,25.1156878,121.5117046,石牌國小,2016/4/25 9:00
2016-04-25 08:54:01,28C2DDDD41EB,44,29,82,25.119488,121.505031,立農國小,2016/4/25 9:00
2016-04-25 08:53:41,28C2DDDD458F,40,30.25,81,25.054721,121.5296301,吉林國小,2016/4/25 9:00
2016-04-25 08:57:55,28C2DDDD450C,34,29,82,25.0522116,121.5636714,西松國小,2016/4/25 9:00
2016-04-25 08:56:40,28C2DDDD423E,47,29.75,80,25.043172,121.5035971,西門國小,2016/4/25 9:00
2016-04-25 08:49:36,28C2DDDD41CD,40,29.62,85,25.0838299,121.5656995,西湖國小,2016/4/25 9:00
2016-04-25 08:54:22,28C2DDDD452E,50,28.75,81,25.0394377,121.5462133,私立復興實驗中學,2016/4/25 9:00
2016-04-25 08:55:50,28C2DDDD437D,49,28.62,86,25.037684,121.5349702,幸安國小,2016/4/25 9:00
2016-04-25 08:56:37,28C2DDDD4572,43,31,70,25.04293,121.531552,忠孝國小,2016/4/25 9:00
2016-04-25 08:54:27,28C2DDDD458A,42,30.75,76,25.1121226,121.5217881,明德國小,2016/4/25 9:00
2016-04-25 08:52:35,28C2DDDD436F,44,28.87,85,25.023163,121.4978675,東園國小,2016/4/25 9:00
2016-04-25 08:54:01,28C2DDDD43ED,47,29.87,78,25.0322754,121.527675,金華國小,2016/4/25 9:00
2016-04-25 08:58:42,28C2DDDD43FC,44,29.12,89,25.0318599,121.563206,信義國小,2016/4/25 9:00
2016-04-25 08:59:09,28C2DDDD434D,44,30.37,82,25.0686959,121.6120147,南湖國小,2016/4/25 9:00
2016-04-25 08:54:41,28C2DDDD4338,40,29.25,78,25.149185,121.524203,泉源國小,2016/4/25 9:00
2016-04-25 08:56:32,28C2DDDD4246,43,29.87,82,25.1269568,121.5076634,清江國小,2016/4/25 9:00
2016-04-25 08:59:28,28C2DDDD4591,45,28.5,86,25.000695,121.575404,博嘉國小,2016/4/25 9:00
2016-04-25 08:56:43,28C2DDDD45A1,45,31.5,76,25.105839,121.482582,富安國小,2016/4/25 9:00
2016-04-25 08:55:38,28C2DDDD4580,39,30.87,71,25.138367,121.505155,逸仙國小,2016/4/25 9:00
2016-04-25 08:56:04,28C2DDDD45A0,37,29.12,86,25.141925,121.509816,義方國小,2016/4/25 9:00
2016-04-25 08:54:11,28C2DDDD455E,45,31.5,81,25.0229842,121.4993232,萬大國小,2016/4/25 9:00
2016-04-25 08:56:48,28C2DDDD4534,29,30.25,67,25.0837421,121.5069631,葫蘆國小,2016/4/25 9:00
2016-04-25 08:45:23,28C2DDDD459A,41,30.37,76,25.0986884,121.5295965,福林國小,2016/4/25 9:00
2016-04-25 08:57:02,28C2DDDD4566,47,27,92,25.0388994,121.5865035,福德國小,2016/4/25 9:00
2016-04-25 08:56:19,28C2DDDD4575,49,27.75,85,25.0261583,121.5427093,銘傳國小,2016/4/25 9:00
2016-04-25 08:57:52,28C2DDDD4372,43,29.87,83,25.0603451,121.5905901,潭美國小,2016/4/25 9:00
2016-04-25 08:55:41,28C2DDDD456C,47,29.5,81,25.0563873,121.5157097,蓬萊國小,2016/4/25 9:00
2016-04-25 08:54:16,28C2DDDD4234,43,30.12,77,25.0024355,121.5518875,興隆國小,2016/4/25 9:00
2016-04-25 08:56:08,28C2DDDD4404,43,31,77,25.0016222,121.5507703,興德國小,2016/4/25 9:00
2016-04-25 08:56:30,28C2DDDD415C,50,29,86,25.0239215,121.5348854,龍安國小,2016/4/25 9:00
2016-04-25 08:54:28,28C2DDDD4240,27,29.5,58,25.1360628,121.4986913,薇閣國小,2016/4/25 9:00
2016-04-25 08:54:13,28C2DDDD4414,46,27.37,94,25.0402449,121.619539,舊莊國小,2016/4/25 9:00
2016-04-25 08:59:12,28C2DDDD457E,46,29.37,81,25.060161,121.5166898,雙蓮國小,2016/4/25 9:00
2016-04-25 08:53:46,28C2DDDD434F,44,29.62,75,25.0452404,121.5417844,懷生國小,2016/4/25 9:00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
